year,category,gf,sf,ff
2025,Federal Grants & Aid,0,0,17776212812
2025,Individual Income Tax,14421349863,0,0
2025,Other Special Revenue,0,7224394850,0
2025,Sales & Use Tax,6972953940,42999261,0
2025,Transportation Revenue,12255000,4673653525,1575939903
2025,Corporate Income Tax,1884268756,408545023,0
2025,Property & Transfer Taxes,1285426620,0,0
2025,Insurance & Other Taxes,727362119,48744079,0
2025,Tobacco & Alcohol,438360497,968846,0
2025,Corporate & Franchise Taxes,290773444,0,0
2025,Estate & Inheritance Taxes,275871269,0,0
2025,Other State Taxes,140102084,2000000,0
2025,Higher Education Revenue,137568827,0,0
2025,Higher Education Tuition & Fees,0,63101508,0
2026,Federal Grants & Aid,0,0,18295482224
2026,Individual Income Tax,14860589483,0,0
2026,Other Special Revenue,0,8770323601,0
2026,Sales & Use Tax,7053422635,117733493,0
2026,Transportation Revenue,11888000,5219666068,1444138290
2026,Corporate Income Tax,2117211548,488774396,0
2026,Property & Transfer Taxes,1333519539,0,0
2026,Other GF Revenue,916192200,0,0
2026,Insurance & Other Taxes,737345082,56886021,0
2026,Tobacco & Alcohol,328025719,0,0
2026,Corporate & Franchise Taxes,301714786,0,0
2026,Estate & Inheritance Taxes,232359533,0,0
2026,Higher Education Revenue,156359157,0,0
2026,Higher Education Tuition & Fees,0,89317431,0
2027,Federal Grants & Aid (est.),0,0,19630472170
2027,Individual Income Tax (est.),15050927038,0,0
2027,Other Special Revenue (est.),0,9518154532,0
2027,Sales & Use Tax (est.),7143764355,127772432,0
2027,Transportation Revenue (est.),12040264,5664738327,1549514583
2027,Corporate Income Tax (est.),2144329238,530451377,0
2027,Property & Transfer Taxes (est.),1350599537,0,0
2027,Other GF Revenue (est.),927926982,0,0
2027,Insurance & Other Taxes (est.),746789152,61736597,0
2027,Tobacco & Alcohol (est.),332227141,0,0
2027,Corporate & Franchise Taxes (est.),305579212,0,0
2027,Estate & Inheritance Taxes (est.),235335642,0,0
2027,Higher Education Revenue (est.),158361837,0,0
2027,Higher Education Tuition & Fees (est.),0,96933380,0
